datetime_iso,target_price,price_es_24h
2021-08-16 00:00:00,102.0,124.91
2021-08-16 01:00:00,89.5,123.1
2021-08-16 02:00:00,85.84,121.5
2021-08-16 03:00:00,85.49,121.08
2021-08-16 04:00:00,84.99,120.92
2021-08-16 05:00:00,85.49,120.92
2021-08-16 06:00:00,89.1,120.92
2021-08-16 07:00:00,90.24,116.75
2021-08-16 08:00:00,92.93,111.35
2021-08-16 09:00:00,89.14,112.97
2021-08-16 10:00:00,85.83,108.0
2021-08-16 11:00:00,84.99,105.97
2021-08-16 12:00:00,84.99,100.97
2021-08-16 13:00:00,84.99,105.91
2021-08-16 14:00:00,85.74,99.8
2021-08-16 15:00:00,84.4,89.14
2021-08-16 16:00:00,83.0,84.67
2021-08-16 17:00:00,82.7,84.47
2021-08-16 18:00:00,82.6,84.97
2021-08-16 19:00:00,84.9,96.07
2021-08-16 20:00:00,90.24,119.5
2021-08-16 21:00:00,109.35,122.49
2021-08-16 22:00:00,105.0,123.09
2021-08-16 23:00:00,90.74,121.08
2021-08-17 00:00:00,87.5,102.0
2021-08-17 01:00:00,84.7,89.5
2021-08-17 02:00:00,83.49,85.84
2021-08-17 03:00:00,82.49,85.49
2021-08-17 04:00:00,82.09,84.99
2021-08-17 05:00:00,82.49,85.49
2021-08-17 06:00:00,84.6,89.1
2021-08-17 07:00:00,85.0,90.24
2021-08-17 08:00:00,86.0,92.93
2021-08-17 09:00:00,84.9,89.14
2021-08-17 10:00:00,84.4,85.83
2021-08-17 11:00:00,84.6,84.99
2021-08-17 12:00:00,84.99,84.99
2021-08-17 13:00:00,89.14,84.99
2021-08-17 14:00:00,89.99,85.74
2021-08-17 15:00:00,86.41,84.4
2021-08-17 16:00:00,85.0,83.0
2021-08-17 17:00:00,84.99,82.7
2021-08-17 18:00:00,85.36,82.6
2021-08-17 19:00:00,96.8,84.9
2021-08-17 20:00:00,107.02,90.24
2021-08-17 21:00:00,120.0,109.35
2021-08-17 22:00:00,112.03,105.0
2021-08-17 23:00:00,94.0,90.74
2021-08-18 00:00:00,105.45,87.5
2021-08-18 01:00:00,103.06,84.7
2021-08-18 02:00:00,84.4,83.49
2021-08-18 03:00:00,84.1,82.49
2021-08-18 04:00:00,83.99,82.09
2021-08-18 05:00:00,84.4,82.49
2021-08-18 06:00:00,90.1,84.6
2021-08-18 07:00:00,102.99,85.0
2021-08-18 08:00:00,113.01,86.0
2021-08-18 09:00:00,114.9,84.9
2021-08-18 10:00:00,100.0,84.4
2021-08-18 11:00:00,101.07,84.6
2021-08-18 12:00:00,105.45,84.99
2021-08-18 13:00:00,113.36,89.14
2021-08-18 14:00:00,116.38,89.99
2021-08-18 15:00:00,116.38,86.41
2021-08-18 16:00:00,112.0,85.0
2021-08-18 17:00:00,110.0,84.99
2021-08-18 18:00:00,110.35,85.36
2021-08-18 19:00:00,116.75,96.8
2021-08-18 20:00:00,125.53,107.02
2021-08-18 21:00:00,126.84,120.0
2021-08-18 22:00:00,125.64,112.03
2021-08-18 23:00:00,116.91,94.0
2021-08-19 00:00:00,103.21,105.45
2021-08-19 01:00:00,91.02,103.06
2021-08-19 02:00:00,89.5,84.4
2021-08-19 03:00:00,89.14,84.1
2021-08-19 04:00:00,89.14,83.99
