datetime_iso,gas_price
2022-01-01,62.44
2022-01-02,48.56
2022-01-03,60.5
2022-01-04,78.2
2022-01-05,85.87
2022-01-06,92.8
2022-01-07,94.96
2022-01-08,84.93
2022-01-09,83.67
2022-01-10,90.0
2022-01-11,83.4
2022-01-12,81.0
2022-01-13,74.94
2022-01-14,83.47
2022-01-15,86.0
2022-01-16,89.76
2022-01-17,94.99
2022-01-18,78.5
2022-01-19,80.5
2022-01-20,74.4
2022-01-21,76.0
2022-01-22,79.0
2022-01-23,79.99
2022-01-24,87.0
2022-01-25,90.4
2022-01-26,91.52
2022-01-27,90.83
2022-01-28,90.97
2022-01-29,91.99
2022-01-30,93.12
2022-01-31,92.74
2022-02-01,82.29
2022-02-02,76.02
2022-02-03,79.25
2022-02-04,78.66
2022-02-05,80.7
2022-02-06,79.24
2022-02-07,81.58
2022-02-08,78.57
2022-02-09,79.11
2022-02-10,78.0
2022-02-11,74.97
2022-02-12,75.6
2022-02-13,77.27
2022-02-14,79.44
2022-02-15,79.38
2022-02-16,68.5
2022-02-17,69.17
2022-02-18,71.93
2022-02-19,69.5
2022-02-20,73.97
2022-02-21,77.61
2022-02-22,70.98
2022-02-23,78.73
2022-02-24,87.53
2022-02-25,113.05
2022-02-26,90.64
2022-02-27,101.16
2022-02-28,107.54
2022-03-01,99.72
2022-03-02,122.1
2022-03-03,163.73
2022-03-04,151.58
2022-03-05,195.08
2022-03-06,189.8
2022-03-07,194.15
2022-03-08,214.36
2022-03-09,200.9
2022-03-10,143.9
2022-03-11,118.0
2022-03-12,119.17
2022-03-13,110.47
2022-03-14,119.85
2022-03-15,105.08
2022-03-16,108.33
2022-03-17,100.5
2022-03-18,100.8
2022-03-19,97.76
2022-03-20,91.0
2022-03-21,98.01
2022-03-22,93.34
2022-03-23,92.4
2022-03-24,102.0
2022-03-25,102.64
2022-03-26,95.2
2022-03-27,91.46
2022-03-28,96.2
2022-03-29,102.5
2022-03-30,102.25
2022-03-31,112.46
2022-04-01,119.99
2022-04-02,113.29
2022-04-03,115.04
2022-04-04,115.98
2022-04-05,107.0
2022-04-06,101.95
2022-04-07,101.18
2022-04-08,94.33
2022-04-09,96.16
2022-04-10,100.77
2022-04-11,97.01
2022-04-12,94.0
2022-04-13,94.2
2022-04-14,91.02
2022-04-15,77.43
2022-04-16,71.5
2022-04-17,71.19
2022-04-18,55.13
2022-04-19,64.66
2022-04-20,78.23
2022-04-21,80.99
2022-04-22,86.5
2022-04-23,72.46
2022-04-24,83.56
2022-04-25,89.27
2022-04-26,79.95
2022-04-27,82.79
2022-04-28,90.08
2022-04-29,76.88
2022-04-30,77.47
2022-05-01,75.55
2022-05-02,85.0
2022-05-03,83.12
2022-05-04,81.99
2022-05-05,82.0
2022-05-06,87.0
2022-05-07,77.88
2022-05-08,80.64
2022-05-09,84.0
2022-05-10,72.7
2022-05-11,64.25
2022-05-12,71.94
2022-05-13,79.0
2022-05-14,73.19
2022-05-15,71.91
2022-05-16,80.0
2022-05-17,68.0
2022-05-18,71.76
2022-05-19,77.05
2022-05-20,75.99
2022-05-21,73.6
2022-05-22,77.67
2022-05-23,81.0
2022-05-24,75.0
2022-05-25,77.78
2022-05-26,74.83
2022-05-27,74.59
2022-05-28,71.89
2022-05-29,78.14
2022-05-30,81.25
2022-05-31,79.78
2022-06-01,82.13
2022-06-02,74.64
2022-06-03,76.1
2022-06-04,74.73
2022-06-05,78.96
2022-06-06,78.4
2022-06-07,72.88
2022-06-08,73.9
2022-06-09,71.25
2022-06-10,80.0
2022-06-11,77.1
2022-06-12,75.31
2022-06-13,80.31
2022-06-14,78.75
2022-06-15,89.5
2022-06-16,105.5
2022-06-17,109.0
2022-06-18,106.0
2022-06-19,106.94
2022-06-20,114.98
2022-06-21,108.38
2022-06-22,112.94
2022-06-23,114.91
2022-06-24,117.75
2022-06-25,110.93
2022-06-26,120.46
2022-06-27,124.05
2022-06-28,115.47
2022-06-29,113.43
2022-06-30,115.88
2022-07-01,121.21
2022-07-02,120.53
2022-07-03,129.0
2022-07-04,138.18
2022-07-05,138.3
2022-07-06,137.83
2022-07-07,141.44
2022-07-08,154.5
2022-07-09,130.0
2022-07-10,145.89
2022-07-11,145.59
2022-07-12,134.03
2022-07-13,139.63
2022-07-14,137.5
2022-07-15,123.2
2022-07-16,94.75
2022-07-17,97.24
2022-07-18,102.0
2022-07-19,107.3
2022-07-20,111.0
