datetime,gas_price
31/12/2023,30.99;
30/12/2023,31.59;
29/12/2023,31.35;
28/12/2023,33.26;
27/12/2023,34.85;
26/12/2023,33.81;
25/12/2023,33.55;
24/12/2023,32.26;
23/12/2023,33.5;
22/12/2023,31.31;
21/12/2023,31.5;
20/12/2023,30.81;
19/12/2023,33.94;
18/12/2023,34.49;
17/12/2023,32.49;
16/12/2023,30.76;
15/12/2023,31.78;
14/12/2023,32.87;
13/12/2023,32.07;
12/12/2023,33.56;
11/12/2023,36.18;
10/12/2023,35.11;
09/12/2023,37.29;
08/12/2023,37.5;
07/12/2023,36.17;
06/12/2023,36.42;
05/12/2023,37.87;
04/12/2023,42.02;
03/12/2023,42.2;
02/12/2023,40.98;
01/12/2023,38.12;
30/11/2023,37.13;
29/11/2023,40.58;
28/11/2023,41.16;
27/11/2023,44.53;
26/11/2023,43.53;
25/11/2023,43.1;
24/11/2023,41.3;
23/11/2023,39.29;
22/11/2023,38.05;
21/11/2023,40.13;
20/11/2023,38;
19/11/2023,37.81;
18/11/2023,37.05;
17/11/2023,39.77;
16/11/2023,40.17;
15/11/2023,37.83;
14/11/2023,30.04;
13/11/2023,30.56;
12/11/2023,33.04;
11/11/2023,34.89;
10/11/2023,35.98;
09/11/2023,38.98;
08/11/2023,40.4;
07/11/2023,39.25;
06/11/2023,37.92;
05/11/2023,38.1;
04/11/2023,35.03;
03/11/2023,34.33;
02/11/2023,35.18;
01/11/2023,36.45;
31/10/2023,45.89;
30/10/2023,45.98;
29/10/2023,45.62;
28/10/2023,44.85;
27/10/2023,45.02;
26/10/2023,45.9;
25/10/2023,45.47;
24/10/2023,45.44;
23/10/2023,48.49;
22/10/2023,44.18;
21/10/2023,44;
20/10/2023,40.59;
19/10/2023,42.96;
18/10/2023,41.56;
17/10/2023,45.14;
16/10/2023,52.56;
15/10/2023,51.9;
14/10/2023,51.34;
13/10/2023,48.49;
12/10/2023,44.55;
11/10/2023,46.6;
10/10/2023,41.38;
09/10/2023,38.43;
08/10/2023,36.78;
07/10/2023,34.5;
06/10/2023,34.36;
05/10/2023,34.95;
04/10/2023,33.32;
03/10/2023,36.46;
02/10/2023,41.28;
01/10/2023,38.44;
30/09/2023,37.95;
29/09/2023,39.93;
28/09/2023,39.52;
27/09/2023,40.03;
26/09/2023,44.81;
25/09/2023,41.11;
24/09/2023,41.18;
23/09/2023,40.28;
22/09/2023,38.76;
21/09/2023,37.67;
20/09/2023,37.7;
19/09/2023,35.64;
18/09/2023,36.78;
17/09/2023,38.03;
16/09/2023,36.66;
15/09/2023,36.1;
14/09/2023,36.89;
13/09/2023,35.19;
12/09/2023,36.96;
11/09/2023,39.13;
10/09/2023,36.13;
09/09/2023,34.5;
08/09/2023,31.78;
07/09/2023,31.67;
06/09/2023,34.58;
05/09/2023,33.04;
04/09/2023,33.62;
03/09/2023,33.39;
02/09/2023,34.51;
01/09/2023,34.48;
31/08/2023,36.69;
30/08/2023,35.63;
29/08/2023,37.94;
28/08/2023,34.75;
27/08/2023,34.66;
26/08/2023,35;
25/08/2023,31.51;
24/08/2023,36.8;
23/08/2023,43.93;
22/08/2023,40;
21/08/2023,40.95;
20/08/2023,37.45;
19/08/2023,35.08;
18/08/2023,35.55;
17/08/2023,36.87;
16/08/2023,35.81;
15/08/2023,31.87;
14/08/2023,33.38;
13/08/2023,32.25;
12/08/2023,33.37;
11/08/2023,36.54;
10/08/2023,38.54;
09/08/2023,29.94;
08/08/2023,29.46;
07/08/2023,28.07;
06/08/2023,29.15;
05/08/2023,28.26;
04/08/2023,29.67;
03/08/2023,27.24;
02/08/2023,26.42;
01/08/2023,26.74;
31/07/2023,24.8;
30/07/2023,24.03;
29/07/2023,25.9;
28/07/2023,27.65;
27/07/2023,28.59;
26/07/2023,32.14;
25/07/2023,29.75;
24/07/2023,28.15;
23/07/2023,28.5;
22/07/2023,28.62;
21/07/2023,29;
20/07/2023,30.01;
19/07/2023,29.85;
18/07/2023,26.15;
17/07/2023,40;
16/07/2023,25.46;
15/07/2023,24.68;
14/07/2023,28.44;
13/07/2023,28.9;
12/07/2023,29.98;
11/07/2023,31.52;
10/07/2023,34.27;
09/07/2023,32.77;
08/07/2023,32.06;
07/07/2023,31.65;
06/07/2023,34.61;
05/07/2023,34.48;
04/07/2023,34.51;
03/07/2023,37.96;
02/07/2023,37.17;
01/07/2023,35.5;
30/06/2023,32.52;
29/06/2023,33.25;
28/06/2023,33.78;
27/06/2023,30.96;
26/06/2023,32.15;
25/06/2023,32.23;
24/06/2023,30.73;
23/06/2023,34.34;
22/06/2023,38.67;
21/06/2023,38.93;
20/06/2023,35.31;
19/06/2023,34.15;
18/06/2023,34.27;
17/06/2023,34.86;
16/06/2023,39.88;
15/06/2023,39.5;
14/06/2023,34.99;
13/06/2023,29.03;
12/06/2023,28.83;
11/06/2023,24.94;
10/06/2023,26.93;
09/06/2023,26.36;
08/06/2023,26.1;
07/06/2023,24.68;
06/06/2023,27.84;
05/06/2023,24.61;
04/06/2023,23.84;
03/06/2023,23.96;
02/06/2023,24.28;
01/06/2023,26.1;
31/05/2023,25.07;
30/05/2023,27.28;
29/05/2023,28.68;
28/05/2023,27.74;
27/05/2023,25.04;
26/05/2023,23.78;
25/05/2023,25.8;
24/05/2023,27.75;
23/05/2023,27.58;
22/05/2023,28.94;
21/05/2023,27.93;
20/05/2023,26.8;
19/05/2023,25.67;
18/05/2023,26.6;
17/05/2023,26.6;
16/05/2023,25.2;
15/05/2023,28.19;
14/05/2023,29.4;
13/05/2023,26.19;
12/05/2023,27;
11/05/2023,28.94;
10/05/2023,31.92;
09/05/2023,33.86;
08/05/2023,34.23;
07/05/2023,34;
06/05/2023,33.77;
05/05/2023,33.33;
04/05/2023,33.21;
03/05/2023,34.25;
