datetime_iso,tmax,tmin,temp
2021-08-15,32.2,22.0,27.1
2021-08-16,31.2,21.2,26.2
2021-08-17,28.9,17.2,23.0
2021-08-18,28.1,17.5,22.8
2021-08-19,26.6,19.1,22.8
2021-08-20,29.0,20.4,24.7
2021-08-21,30.5,21.0,25.8
2021-08-22,30.4,20.8,25.6
2021-08-23,26.3,20.4,23.4
2021-08-24,26.7,19.0,22.8
2021-08-25,28.2,20.2,24.2
2021-08-26,29.2,18.5,23.8
2021-08-27,32.4,21.0,26.7
2021-08-28,28.7,19.7,24.2
2021-08-29,26.8,18.9,22.8
2021-08-30,22.8,18.9,20.8
2021-08-31,27.6,19.0,23.3
2021-09-01,24.1,17.6,20.8
2021-09-02,26.3,17.5,21.9
2021-09-03,29.9,18.8,24.4
2021-09-04,27.9,18.4,23.2
2021-09-05,29.5,19.9,24.7
2021-09-06,30.0,20.3,25.2
2021-09-07,28.9,21.1,25.0
2021-09-08,31.0,20.9,26.0
2021-09-09,28.9,20.3,24.6
2021-09-10,30.0,18.2,24.1
2021-09-11,28.8,19.6,24.2
2021-09-12,28.4,20.8,24.6
2021-09-13,28.6,20.8,24.7
2021-09-14,30.4,21.6,26.0
2021-09-15,31.3,21.2,26.2
2021-09-16,26.7,17.4,22.0
2021-09-17,30.0,18.5,24.2
2021-09-18,24.5,18.2,21.4
2021-09-19,26.8,13.5,20.2
2021-09-20,25.1,14.1,19.6
2021-09-21,21.3,14.7,18.0
2021-09-22,24.2,16.9,20.5
2021-09-23,23.1,15.3,19.2
2021-09-24,24.5,16.9,20.7
2021-09-25,28.4,19.0,23.7
2021-09-26,31.0,18.2,24.6
2021-09-27,30.1,18.4,24.2
2021-09-28,26.7,18.3,22.5
2021-09-29,21.9,16.9,19.4
2021-09-30,22.7,16.4,19.5
2021-10-01,23.9,16.1,20.0
2021-10-02,25.7,17.4,21.5
2021-10-03,24.0,15.1,19.6
2021-10-04,16.2,11.4,13.8
2021-10-05,23.9,11.0,17.4
2021-10-06,22.4,14.7,18.5
2021-10-07,23.4,13.1,18.2
2021-10-08,21.4,14.6,18.0
2021-10-09,20.1,14.3,17.2
2021-10-10,20.3,14.3,17.3
2021-10-11,23.6,13.8,18.7
2021-10-12,24.3,15.4,19.8
2021-10-13,22.6,15.4,19.0
2021-10-14,21.3,14.1,17.7
2021-10-15,23.0,15.1,19.0
2021-10-16,22.6,14.8,18.7
2021-10-17,21.2,14.1,17.6
2021-10-18,22.7,15.8,19.2
2021-10-19,24.6,16.1,20.4
2021-10-20,22.8,16.1,19.5
2021-10-21,21.0,14.6,17.8
2021-10-22,20.2,13.6,16.9
2021-10-23,20.8,10.8,15.8
2021-10-24,22.3,13.2,17.8
2021-10-25,20.8,13.4,17.1
2021-10-26,22.6,13.7,18.2
2021-10-27,19.6,12.7,16.2
2021-10-28,20.2,12.3,16.2
2021-10-29,21.8,13.6,17.7
2021-10-30,19.0,14.4,16.7
2021-10-31,24.1,16.2,20.2
2021-11-01,22.0,12.3,17.2
2021-11-02,18.2,9.7,14.0
2021-11-03,15.3,8.4,11.9
2021-11-04,14.2,7.0,10.6
2021-11-05,14.7,5.4,10.0
2021-11-06,15.8,5.9,10.9
2021-11-07,16.9,5.9,11.4
2021-11-08,20.1,10.2,15.2
2021-11-09,14.5,8.9,11.7
2021-11-10,13.5,10.5,12.0
2021-11-11,16.3,11.3,13.8
2021-11-12,16.4,12.4,14.4
2021-11-13,19.1,12.2,15.6
2021-11-14,13.8,9.7,11.8
2021-11-15,12.3,7.8,10.0
2021-11-16,13.1,8.4,10.8
2021-11-17,15.6,7.9,11.8
2021-11-18,17.2,7.0,12.1
2021-11-19,16.4,9.7,13.0
2021-11-20,15.3,10.1,12.7
2021-11-21,15.1,11.0,13.0
2021-11-22,13.2,8.3,10.8
2021-11-23,11.7,8.5,10.1
2021-11-24,11.5,6.6,9.0
2021-11-25,10.0,5.8,7.9
2021-11-26,11.3,4.8,8.0
2021-11-27,10.9,2.7,6.8
2021-11-28,9.3,1.8,5.6
2021-11-29,14.2,1.9,8.0
2021-11-30,14.5,6.2,10.4
2021-12-01,12.7,5.5,9.1
2021-12-02,12.5,4.8,8.6
2021-12-03,13.1,3.9,8.5
2021-12-04,14.8,6.4,10.6
2021-12-05,9.8,3.4,6.6
2021-12-06,11.7,2.6,7.2
2021-12-07,16.1,7.8,12.0
2021-12-08,11.8,4.3,8.0
2021-12-09,9.8,2.9,6.4
2021-12-10,13.9,6.1,10.0
2021-12-11,13.3,5.4,9.4
2021-12-12,14.2,8.2,11.2
2021-12-13,17.2,8.8,13.0
2021-12-14,16.3,8.9,12.6
2021-12-15,16.2,8.9,12.6
2021-12-16,14.5,7.9,11.2
2021-12-17,11.7,7.2,9.4
2021-12-18,13.0,7.2,10.1
2021-12-19,14.4,7.5,11.0
2021-12-20,13.2,5.2,9.2
2021-12-21,11.1,6.2,8.6
2021-12-22,9.3,7.6,8.4
2021-12-23,11.9,8.9,10.4
2021-12-24,13.7,10.7,12.2
2021-12-25,16.7,10.7,13.7
2021-12-26,16.0,9.8,12.9
2021-12-27,17.0,10.3,13.6
2021-12-28,16.4,12.1,14.2
2021-12-29,17.5,11.1,14.3
2021-12-30,20.4,12.4,16.4
2021-12-31,19.6,11.5,15.6
2022-01-01,22.1,14.9,18.5
2022-01-02,16.4,9.6,13.0
2022-01-03,17.1,12.2,14.6
2022-01-04,21.1,10.1,15.6
2022-01-05,11.0,5.7,8.4
2022-01-06,8.6,1.8,5.2
2022-01-07,12.1,2.7,7.4
2022-01-08,12.3,4.8,8.6
2022-01-09,13.7,7.0,10.4
2022-01-10,9.3,6.6,8.0
2022-01-11,15.1,6.9,11.0
2022-01-12,10.2,5.5,7.8
2022-01-13,12.9,4.7,8.8
2022-01-14,12.5,5.5,9.0
2022-01-15,13.0,4.2,8.6
2022-01-16,13.4,5.0,9.2
2022-01-17,13.9,5.3,9.6
