datetime_iso,tmax,tmin
2021-08-15,41.6,19.4
2021-08-16,36.8,17.3
2021-08-17,34.1,14.6
2021-08-18,35.3,15.6
2021-08-19,34.8,15.9
2021-08-20,35.2,16.5
2021-08-21,36.0,14.6
2021-08-22,37.6,14.5
2021-08-23,39.1,20.5
2021-08-24,34.7,16.6
2021-08-25,32.0,17.1
2021-08-26,34.5,17.8
2021-08-27,35.7,17.9
2021-08-28,34.5,13.8
2021-08-29,33.3,14.7
2021-08-30,31.7,17.6
2021-08-31,33.7,16.3
2021-09-01,25.7,16.5
2021-09-02,26.8,14.3
2021-09-03,29.3,14.2
2021-09-04,30.9,14.7
2021-09-05,33.6,15.6
2021-09-06,33.3,17.6
2021-09-07,32.5,20.2
2021-09-08,28.3,15.9
2021-09-09,27.7,15.4
2021-09-10,28.5,14.7
2021-09-11,28.1,12.7
2021-09-12,31.7,13.7
2021-09-13,28.5,18.5
2021-09-14,20.2,15.9
2021-09-15,24.9,14.6
2021-09-16,26.8,13.9
2021-09-17,27.4,13.1
2021-09-18,26.5,12.5
2021-09-19,26.2,9.5
2021-09-20,24.6,11.2
2021-09-21,23.3,7.8
2021-09-22,24.0,11.5
2021-09-23,26.4,12.6
2021-09-24,25.4,15.7
2021-09-25,22.5,14.3
2021-09-26,24.6,9.9
2021-09-27,26.5,9.7
2021-09-28,26.1,10.4
2021-09-29,25.5,9.2
2021-09-30,25.6,11.4
2021-10-01,25.2,11.2
2021-10-02,26.5,9.1
2021-10-03,19.3,9.2
2021-10-04,19.8,5.1
2021-10-05,22.3,5.6
2021-10-06,24.4,9.4
2021-10-07,26.7,5.4
2021-10-08,27.6,6.3
2021-10-09,25.8,7.2
2021-10-10,24.2,8.1
2021-10-11,25.2,7.8
2021-10-12,25.1,7.1
2021-10-13,25.7,5.1
2021-10-14,24.6,4.9
2021-10-15,24.6,8.0
2021-10-16,21.4,5.5
2021-10-17,23.7,12.6
2021-10-18,25.2,8.7
2021-10-19,26.4,9.8
2021-10-20,24.9,9.6
2021-10-21,23.3,8.8
2021-10-22,20.6,10.0
2021-10-23,20.8,3.5
2021-10-24,21.5,1.9
2021-10-25,21.9,2.7
2021-10-26,22.3,6.8
2021-10-27,21.8,4.0
2021-10-28,21.1,4.6
2021-10-29,16.3,10.8
2021-10-30,19.3,13.5
2021-10-31,20.5,14.1
2021-11-01,18.3,10.6
2021-11-02,14.5,4.8
2021-11-03,13.2,4.2
2021-11-04,13.0,1.1
2021-11-05,12.8,-0.9
