datetime_iso,tmax,tmin,temp
2021-08-16,44.6,21.7,33.2
2021-08-17,36.6,19.8,28.2
2021-08-18,35.4,21.4,28.4
2021-08-19,34.9,21.3,28.1
2021-08-20,35.4,20.1,27.8
2021-08-21,37.9,19.7,28.8
2021-08-22,37.8,21.2,29.5
2021-08-23,37.7,22.3,30.0
2021-08-24,34.5,24.0,29.2
2021-08-25,32.6,21.5,27.0
2021-08-26,35.5,19.8,27.6
2021-08-27,33.6,19.9,26.8
2021-08-28,33.4,18.0,25.7
2021-08-29,31.1,18.1,24.6
2021-08-30,34.3,17.6,26.0
2021-08-31,35.3,18.9,27.1
2021-09-01,31.3,19.8,25.6
2021-09-02,32.0,19.3,25.6
2021-09-03,34.4,17.8,26.1
2021-09-04,35.6,18.2,26.9
2021-09-05,38.3,19.2,28.8
2021-09-06,36.1,25.0,30.6
2021-09-07,33.8,21.1,27.4
2021-09-08,33.1,19.0,26.0
2021-09-09,32.0,19.7,25.8
2021-09-10,33.3,18.2,25.8
2021-09-11,35.4,18.6,27.0
2021-09-12,36.2,18.5,27.4
2021-09-13,29.7,22.0,25.8
2021-09-14,27.0,19.6,23.3
2021-09-15,27.8,18.5,23.2
2021-09-16,30.5,18.8,24.6
2021-09-17,32.4,18.7,25.5
2021-09-18,31.6,18.0,24.8
2021-09-19,33.2,15.9,24.6
2021-09-20,33.3,16.7,25.0
2021-09-21,32.9,18.0,25.4
2021-09-22,31.3,18.6,25.0
2021-09-23,29.5,20.2,24.8
2021-09-24,25.7,17.6,21.6
2021-09-25,28.5,15.8,22.2
2021-09-26,31.1,16.1,23.6
2021-09-27,32.3,15.9,24.1
2021-09-28,31.6,16.0,23.8
2021-09-29,33.9,17.4,25.6
2021-09-30,32.9,17.5,25.2
2021-10-01,32.1,16.1,24.1
2021-10-02,31.6,17.2,24.4
2021-10-03,24.2,14.8,19.5
2021-10-04,26.8,11.6,19.2
2021-10-05,29.0,13.6,21.3
2021-10-06,33.7,17.3,25.5
2021-10-07,33.3,17.0,25.2
2021-10-08,32.9,15.1,24.0
2021-10-09,30.3,15.8,23.0
2021-10-10,32.4,17.0,24.7
2021-10-11,32.3,17.9,25.1
2021-10-12,31.7,18.0,24.8
2021-10-13,31.2,16.1,23.6
2021-10-14,31.4,16.3,23.8
2021-10-15,30.2,14.4,22.3
2021-10-16,30.1,14.7,22.4
2021-10-17,30.2,15.6,22.9
2021-10-18,32.8,18.7,25.8
2021-10-19,32.8,16.8,24.8
2021-10-20,31.1,17.2,24.2
2021-10-21,29.9,15.3,22.6
2021-10-22,27.5,13.2,20.4
2021-10-23,28.0,12.1,20.0
2021-10-24,29.2,12.7,21.0
2021-10-25,28.6,12.5,20.6
2021-10-26,28.5,13.1,20.8
2021-10-27,27.9,13.3,20.6
2021-10-28,27.4,13.1,20.2
2021-10-29,23.0,16.1,19.6
2021-10-30,22.4,19.8,21.1
2021-10-31,24.6,20.3,22.5
2021-11-01,26.0,19.8,22.9
2021-11-02,21.8,15.6,18.7
2021-11-03,20.2,10.3,15.2
2021-11-04,20.6,8.3,14.4
2021-11-05,20.8,6.9,13.8
2021-11-06,19.3,7.8,13.6
2021-11-07,20.4,5.7,13.0
2021-11-08,22.9,5.4,14.2
2021-11-09,23.5,6.1,14.8
2021-11-10,22.6,7.3,15.0
2021-11-11,21.8,8.0,14.9
2021-11-12,22.0,8.4,15.2
2021-11-13,24.9,9.2,17.0
2021-11-14,26.1,10.0,18.0
2021-11-15,22.9,7.0,15.0
2021-11-16,21.8,7.4,14.6
2021-11-17,21.9,7.1,14.5
2021-11-18,21.4,8.8,15.1
2021-11-19,23.5,12.2,17.8
2021-11-20,19.0,13.1,16.0
2021-11-21,20.0,10.6,15.3
2021-11-22,18.2,9.1,13.6
2021-11-23,15.9,4.4,10.2
2021-11-24,16.8,2.6,9.7
2021-11-25,16.5,3.9,10.2
2021-11-26,17.4,6.5,12.0
2021-11-27,17.5,3.2,10.4
2021-11-28,16.4,2.9,9.6
2021-11-29,19.3,6.7,13.0
2021-11-30,17.3,5.5,11.4
2021-12-01,16.7,3.3,10.0
2021-12-02,17.7,8.7,13.2
2021-12-03,17.3,2.9,10.1
2021-12-04,18.2,3.2,10.7
2021-12-05,19.0,5.8,12.4
2021-12-06,18.5,3.4,11.0
2021-12-07,18.6,5.6,12.1
2021-12-08,19.0,9.7,14.4
2021-12-09,18.8,5.1,12.0
2021-12-10,19.1,8.5,13.8
2021-12-11,20.8,7.6,14.2
2021-12-12,23.2,8.6,15.9
2021-12-13,22.0,7.8,14.9
2021-12-14,21.0,6.5,13.8
2021-12-15,21.3,6.9,14.1
2021-12-16,21.0,9.0,15.0
2021-12-17,21.5,8.7,15.1
2021-12-18,20.3,7.4,13.8
2021-12-19,22.2,8.8,15.5
2021-12-20,18.0,10.1,14.0
2021-12-21,19.2,11.6,15.4
2021-12-22,16.9,13.5,15.2
2021-12-23,15.5,13.4,14.4
2021-12-24,15.6,13.8,14.7
2021-12-25,16.9,13.2,15.0
2021-12-26,17.4,12.3,14.8
2021-12-27,20.4,14.7,17.5
2021-12-28,21.2,12.6,16.9
2021-12-29,20.5,9.5,15.0
2021-12-30,21.1,7.9,14.5
2021-12-31,22.7,8.6,15.6
2022-01-01,21.1,8.7,14.9
2022-01-02,21.1,7.1,14.1
2022-01-03,22.2,8.2,15.2
2022-01-04,16.5,9.5,13.0
2022-01-05,16.7,5.3,11.0
2022-01-06,17.4,6.0,11.7
2022-01-07,16.5,4.1,10.3
2022-01-08,18.2,5.2,11.7
2022-01-09,16.4,2.1,9.2
2022-01-10,18.0,5.0,11.5
2022-01-11,20.1,6.6,13.4
2022-01-12,19.4,7.0,13.2
2022-01-13,18.3,6.9,12.6
2022-01-14,18.1,6.7,12.4
2022-01-15,18.1,5.3,11.7
2022-01-16,18.1,5.4,11.8
2022-01-17,17.9,4.5,11.2
2022-01-18,18.3,4.8,11.6
2022-01-19,17.5,3.1,10.3
2022-01-20,17.2,3.1,10.2
2022-01-21,17.3,3.1,10.2
2022-01-22,19.8,4.4,12.1
2022-01-23,17.9,6.6,12.2
2022-01-24,16.0,8.7,12.4
2022-01-25,17.6,9.5,13.6
2022-01-26,18.5,9.4,14.0
2022-01-27,18.9,9.9,14.4
2022-01-28,20.9,8.7,14.8
2022-01-29,21.7,9.6,15.6
2022-01-30,21.1,9.0,15.0
2022-01-31,22.2,6.6,14.4
2022-02-01,20.4,5.4,12.9
2022-02-02,22.5,5.5,14.0
2022-02-03,22.4,5.8,14.1
2022-02-04,15.9,7.5,11.7
2022-02-05,19.5,8.3,13.9
2022-02-06,21.7,6.2,14.0
2022-02-07,22.3,8.1,15.2
2022-02-08,23.7,6.8,15.2
2022-02-09,22.3,7.8,15.0
2022-02-10,21.7,5.8,13.8
2022-02-11,22.8,7.9,15.4
2022-02-12,19.1,7.8,13.4
2022-02-13,19.4,7.5,13.4
2022-02-14,21.2,8.9,15.0
2022-02-15,20.7,4.3,12.5
2022-02-16,20.4,6.2,13.3
2022-02-17,23.1,8.5,15.8
2022-02-18,20.8,6.9,13.8
2022-02-19,22.0,9.3,15.6
2022-02-20,22.8,8.9,15.8
2022-02-21,23.7,7.2,15.4
2022-02-22,27.5,9.3,18.4
2022-02-23,25.8,10.1,18.0
2022-02-24,22.7,10.9,16.8
2022-02-25,21.1,10.2,15.6
2022-02-26,21.6,11.7,16.6
2022-02-27,22.4,12.4,17.4
2022-02-28,22.7,9.1,15.9
2022-03-01,23.6,6.9,15.2
2022-03-02,23.3,7.6,15.4
2022-03-03,19.8,8.0,13.9
2022-03-04,20.5,8.4,14.4
2022-03-05,19.0,6.8,12.9
2022-03-06,20.9,4.8,12.8
2022-03-07,20.0,6.3,13.2
2022-03-08,18.3,6.9,12.6
2022-03-09,21.3,7.4,14.4
2022-03-10,22.2,7.9,15.0
2022-03-11,15.3,10.8,13.0
2022-03-12,17.1,8.4,12.8
2022-03-13,20.3,11.7,16.0
2022-03-14,15.4,10.3,12.8
2022-03-15,16.6,10.9,13.8
2022-03-16,14.0,11.9,13.0
2022-03-17,18.7,11.2,15.0
2022-03-18,19.3,10.1,14.7
2022-03-19,21.6,10.3,16.0
2022-03-20,22.5,12.0,17.2
2022-03-21,17.6,11.9,14.8
2022-03-22,18.7,12.1,15.4
2022-03-23,19.5,12.5,16.0
2022-03-24,14.6,11.1,12.8
2022-03-25,18.2,11.7,15.0
2022-03-26,21.1,10.9,16.0
2022-03-27,22.4,11.9,17.2
2022-03-28,22.2,13.2,17.7
2022-03-29,21.1,13.3,17.2
2022-03-30,23.2,12.0,17.6
2022-03-31,22.2,11.4,16.8
2022-04-01,21.8,8.0,14.9
2022-04-02,19.4,8.8,14.1
2022-04-03,19.1,8.6,13.8
2022-04-04,17.4,9.7,13.6
2022-04-05,12.6,8.5,10.6
2022-04-06,19.9,8.8,14.4
2022-04-07,22.5,7.5,15.0
2022-04-08,23.2,8.3,15.8
2022-04-09,25.1,9.2,17.2
2022-04-10,28.3,11.5,19.9
2022-04-11,20.4,12.0,16.2
2022-04-12,18.2,10.5,14.4
2022-04-13,23.6,8.6,16.1
2022-04-14,27.4,10.4,18.9
2022-04-15,28.2,12.3,20.2
2022-04-16,30.1,12.8,21.5
2022-04-17,31.2,13.6,22.4
2022-04-18,27.9,13.8,20.8
2022-04-19,23.3,11.3,17.3
2022-04-20,20.3,8.8,14.6
2022-04-21,22.1,8.6,15.4
2022-04-22,15.9,10.6,13.2
2022-04-23,16.6,8.2,12.4
2022-04-24,21.2,10.2,15.7
2022-04-25,23.6,9.5,16.6
2022-04-26,24.3,11.1,17.7
2022-04-27,25.0,11.9,18.4
2022-04-28,26.1,12.0,19.0
2022-04-29,26.8,13.8,20.3
2022-04-30,28.3,12.3,20.3
2022-05-01,30.4,13.4,21.9
2022-05-02,24.9,12.0,18.4
2022-05-03,22.9,11.4,17.2
2022-05-04,24.4,12.5,18.4
2022-05-05,28.0,13.2,20.6
2022-05-06,30.3,14.1,22.2
2022-05-07,31.9,14.8,23.4
2022-05-08,31.4,15.7,23.5
2022-05-09,33.2,15.2,24.2
2022-05-10,32.6,15.7,24.2
2022-05-11,32.3,16.9,24.6
2022-05-12,31.7,17.0,24.4
2022-05-13,34.5,16.8,25.6
2022-05-14,31.1,16.8,24.0
2022-05-15,26.8,16.4,21.6
2022-05-16,30.0,14.5,22.2
2022-05-17,34.6,16.2,25.4
2022-05-18,35.4,18.1,26.8
2022-05-19,35.7,18.3,27.0
2022-05-20,38.6,22.1,30.4
2022-05-21,32.3,18.8,25.5
2022-05-22,29.2,18.0,23.6
2022-05-23,32.2,16.1,24.2
2022-05-24,30.3,16.6,23.5
2022-05-25,29.5,16.8,23.2
2022-05-26,31.8,15.0,23.4
2022-05-27,36.4,17.6,27.0
2022-05-28,34.2,17.5,25.8
2022-05-29,26.8,17.4,22.1
2022-05-30,27.9,15.9,21.9
2022-05-31,30.6,15.3,23.0
2022-06-01,29.5,16.5,23.0
2022-06-02,28.2,16.8,22.5
2022-06-03,27.2,16.4,21.8
2022-06-04,27.6,15.0,21.3
2022-06-05,32.8,15.2,24.0
2022-06-06,35.7,16.2,26.0
2022-06-07,37.2,17.6,27.4
2022-06-08,36.9,19.2,28.0
2022-06-09,39.3,23.1,31.2
2022-06-10,39.0,22.9,31.0
2022-06-11,39.7,23.0,31.4
